"","CLOS_Bac.sp.AR0.2596583541","CLOS_Bac.sp.D20.647533114","CLOS_Bac.uni.2aA.2690316219","CLOS_Bac.uni.2aB.2671181049","CLOS_Bac.uni.dn2.2563367160","Bac.sp.4_6.649989914","Bac.uni.ii.2588254076","Bac.uni.iii.2588254080","Bac.uni.CL3.2537561752","Bac.uni.CL7.2534681854","Bac.uni.657.2693429911","Bac.uni.KL7.2675903308"
"KO:K01858",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01885",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01886",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01895",1,1,2,2,1,1,1,1,1,1,1,1
"KO:K01897",5,5,4,4,4,4,4,4,6,6,4,4
"KO:K01914",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01915",3,3,3,3,3,3,3,3,3,3,3,3
"KO:K01918",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01921",1,1,1,1,1,1,3,1,1,1,1,1
"KO:K01923",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01924",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01925",1,1,2,2,1,1,1,1,1,1,1,1
"KO:K01929",2,2,2,2,2,2,5,2,2,2,2,2
"KO:K01933",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01934",1,1,1,1,1,1,2,0,1,1,1,1
"KO:K01935",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01937",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01938",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01939",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01940",1,1,3,3,1,1,1,1,1,1,1,1
"KO:K01945",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01950",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01951",2,2,2,2,2,2,2,2,2,2,2,2
"KO:K01952",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01953",1,1,1,1,2,2,1,1,1,1,2,2
"KO:K01955",2,2,2,2,3,2,2,2,3,3,3,4
"KO:K01956",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01959",0,0,1,1,0,0,0,0,0,0,0,0
"KO:K01960",2,2,2,2,2,2,2,2,2,2,2,2
"KO:K01961",1,1,2,2,1,2,1,1,1,1,1,1
"KO:K01966",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K02108",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02109",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02110",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02111",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02112",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02113",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K02114",1,0,1,1,1,1,1,1,1,1,1,1
