"","CLOS_Hae.par.332.651324039","CLOS_Hae.par.HK9.2534681801","CLOS_Hae.par.HK2.2534681804","CLOS_Hae.par.HK9.2600255006","CLOS_Hae.par.T31.650377947","Hae.pit.855.2512047060"
"KO:K03151",1,1,1,1,1,1
"KO:K03269",1,1,1,1,1,2
"KO:K03270",1,1,1,1,1,1
"KO:K03271",2,2,2,2,2,2
"KO:K03272",1,1,1,1,1,1
"KO:K03273",1,1,1,1,1,1
"KO:K03274",1,1,1,1,1,1
"KO:K03335",0,0,0,0,1,0
"KO:K03336",0,0,0,0,1,0
"KO:K03337",0,0,0,0,1,0
"KO:K03338",0,0,0,0,1,0
"KO:K03431",1,1,1,1,1,1
"KO:K03524",1,1,1,1,1,1
"KO:K03526",1,1,1,1,1,2
"KO:K03527",1,1,1,1,1,1
"KO:K03621",1,1,1,1,1,1
"KO:K03635",1,1,1,1,1,1
"KO:K03636",1,1,1,1,1,1
"KO:K03637",1,1,1,1,1,1
"KO:K03639",1,1,1,1,1,1
"KO:K03644",1,1,1,1,1,2
"KO:K03707",1,1,1,1,1,0
"KO:K03784",1,1,1,1,1,1
"KO:K03786",1,1,1,1,1,1
"KO:K03787",1,1,1,1,1,1
"KO:K03801",1,1,1,1,1,2
"KO:K03841",1,1,1,1,1,1
"KO:K04042",1,1,1,1,1,1
"KO:K04072",0,0,0,0,0,1
"KO:K04487",1,1,1,1,1,1
"KO:K04765",1,1,1,1,1,1
"KO:K05366",1,1,1,1,1,2
"KO:K06041",1,1,1,1,1,1
"KO:K06131",1,1,1,1,1,1
"KO:K06211",1,1,1,1,1,1
"KO:K06879",1,1,1,1,1,1
"KO:K06920",1,1,1,1,2,1
"KO:K07106",1,1,1,1,1,1
"KO:K07173",1,1,1,1,1,1
"KO:K07258",1,1,1,1,1,1
"KO:K07751",1,1,1,1,1,1
"KO:K08289",1,1,1,1,1,2
"KO:K08591",1,1,1,1,1,1
"KO:K08680",1,1,1,2,1,1
"KO:K09458",1,0,0,1,0,1
"KO:K09471",1,1,1,1,1,1
"KO:K09789",1,1,1,1,0,0
"KO:K09903",1,1,1,1,1,1
"KO:K11175",1,1,1,1,1,1
"KO:K11258",1,1,1,1,1,1
"KO:K11751",1,1,1,1,1,2
"KO:K11752",1,1,1,1,1,1
"KO:K11753",1,1,1,1,1,1
"KO:K11754",1,1,1,1,1,1
"KO:K11755",0,1,1,0,0,1
"KO:K12373",0,0,0,0,0,2
"KO:K12524",1,1,1,1,1,1
"KO:K13038",1,1,1,1,1,2
"KO:K13498",1,1,1,1,1,1
"KO:K13788",1,1,1,1,1,2
"KO:K13821",0,0,0,0,1,1
"KO:K14170",1,1,1,1,1,1
"KO:K14187",1,1,1,1,1,1
"KO:K14260",1,1,1,1,1,2
"KO:K15634",1,1,1,1,1,1
"KO:K16066",1,1,1,1,1,1
